policy,template_family,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
base_moe,lookup_multiply,unseen_composition,8,0.375,0.375,355.0,604.375,959.375,5.0,3.0,3.0,3.3552031874860404,3.332022682247043,0.9921737547949948,0.3808930249541235,,0.0,0.0,0.0,16.5,10.0,0.12345679012345678,0.8765432098765432,10.0,6.5,6872.0,604.375,0.7916666666666667,2.798741250007879,5.9562958669819634,2.7716647915367503,5.9311324079026235,0.0,0.0
base_moe,reverse_string,seen_family,8,1.0,1.0,335.5,472.75,808.25,4.75,3.0,3.0,3.567773254988424,3.5434740002456238,0.9926487496679188,0.4181336864256065,,0.0,0.0,0.0,16.75,12.75,0.15740740740740738,0.8425925925925926,9.5,7.25,5327.0,472.75,0.8020833333333333,3.190927437506616,6.09749096642481,3.167573228973197,6.0599035858002015,0.0,0.0
conductor_preference,addition_reverse_digits,unseen_composition,8,0.0,0.0,230.75,34.0,264.75,1.0,1.0,2.0,0.6759461613910389,0.6650359426203067,0.9836276716642893,0.8715752449305081,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,349.375,34.0,0.875,0.6027843750198372,0.8950279165583196,0.5932932080177125,0.8838762436294927,0.0,0.0
conductor_preference,arithmetic_addition,seen_family,8,1.0,1.0,206.5,27.0,233.5,1.0,1.0,2.0,0.7193246928800363,0.6922081144948606,0.964260996027134,0.8843667245000457,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,294.25,27.0,0.875,0.6483022080210503,1.0003503942047245,0.6387178544828203,0.9901651249325368,0.0,0.0
conductor_preference,count_vowels,seen_family,8,1.0,1.0,204.25,32.0,236.25,1.0,1.0,2.0,1.5049853436357807,1.4932324321416672,0.986271795450101,0.8645431765431946,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,325.25,32.0,0.875,0.6544669580180198,4.948751279150017,0.6442811040324159,4.931194368959401,0.0,0.0
conductor_preference,inline_lookup,seen_family,8,1.0,1.0,263.0,35.0,298.0,1.0,1.0,2.0,1.168909734362387,1.15902504674159,0.9885885651445394,0.8825490129837956,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,0.6948655624873936,2.586921264667762,0.6851684784342069,2.576082249981118,0.0,0.0
conductor_preference,lookup_multiply,unseen_composition,8,0.0,0.0,272.0,40.0,312.0,1.0,1.0,2.0,1.3684222551164567,1.356434656358033,0.9881248269517566,0.8717896034518184,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,408.0,40.0,0.875,0.6987279790046159,3.557702422892907,0.688781167002162,3.5372844545083346,0.0,0.0
conductor_preference,reverse_string,seen_family,8,1.0,1.0,212.25,32.0,244.25,1.0,1.0,2.0,1.5166905052392394,1.5056062916191877,0.9880820611287792,0.8689569171243505,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,332.0,32.0,0.875,0.725436020991765,4.344716274860547,0.716029103990877,4.329313590895616,0.0,0.0
conductor_sft,addition_reverse_digits,unseen_composition,8,0.0,0.0,230.75,34.0,264.75,1.0,1.0,2.0,0.8202295105002122,0.8097960466548102,0.9855697776076242,0.8715752449305081,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,349.375,34.0,0.875,0.6369493335078005,1.5906671896867914,0.6271601045154966,1.5780473561928368,0.0,0.0
conductor_sft,arithmetic_addition,seen_family,8,1.0,1.0,206.5,27.0,233.5,1.0,1.0,2.0,1.4089918385143392,1.3895187026209896,0.9858556775671452,0.8843667245000457,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,294.25,27.0,0.875,0.6899259165220428,3.2972613375110083,0.6805211864702869,3.2366448103362924,0.0,0.0
conductor_sft,count_vowels,seen_family,8,1.0,1.0,204.25,32.0,236.25,1.0,1.0,2.0,0.849949921874213,0.8401328333711717,0.9865213754529767,0.8645431765431946,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,325.25,32.0,0.875,0.6466223124880344,1.5949364665546453,0.6365699585003313,1.5848819852137237,0.0,0.0
conductor_sft,inline_lookup,seen_family,8,1.0,1.0,263.0,35.0,298.0,1.0,1.0,2.0,1.360062021005433,1.3481004170025699,0.9884021981914206,0.8825490129837956,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,0.816944833000889,3.701329285639802,0.8073129379772581,3.6810275644937045,0.0,0.0
conductor_sft,lookup_multiply,unseen_composition,8,0.0,0.0,272.0,40.0,312.0,1.0,1.0,2.0,1.1522437553867348,1.142019057253492,0.9873960323913485,0.8717896034518184,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,408.0,40.0,0.875,0.699688270513434,3.072513656684894,0.689115999994101,3.0604997108428487,0.0,0.0
conductor_sft,reverse_string,seen_family,8,1.0,1.0,212.25,32.0,244.25,1.0,1.0,2.0,0.8651131613878533,0.854378036383423,0.986414926748739,0.8689569171243505,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,332.0,32.0,0.875,0.62541031249566,1.5189888061693635,0.6155522294866387,1.503220675117336,0.0,0.0
random_top_k,addition_reverse_digits,unseen_composition,8,0.375,0.375,0.0,662.875,662.875,6.0,3.0,3.0,0.008893369740690105,6.134361319709569e-05,0.006896592961411566,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7255.875,662.875,0.75,0.00881791696883738,0.009319837478687986,6.079251761548221e-05,6.544385105371475e-05,0.0,0.0
random_top_k,arithmetic_addition,seen_family,8,1.0,1.0,0.0,645.75,645.75,6.0,3.0,3.0,0.008982135521364398,6.62396487314254e-05,0.00734232113051027,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7217.375,645.75,0.75,0.008843146002618596,0.00953216252673883,6.120750913396478e-05,8.922511478886006e-05,0.0,0.0
random_top_k,count_vowels,seen_family,8,1.0,1.0,0.0,671.625,671.625,6.0,3.0,3.0,0.010895114617596846,6.209352432051674e-05,0.006363044502152523,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7353.375,671.625,0.75,0.008777270995778963,0.019820769302896217,5.927099846303463e-05,7.248108158819377e-05,0.0,0.0
random_top_k,inline_lookup,seen_family,8,1.0,1.0,0.0,666.875,666.875,6.0,3.0,3.0,0.008814864479063544,6.0635124100372195e-05,0.006878187902745102,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7337.125,666.875,0.75,0.008800166484434158,0.00889554996683728,5.972853978164494e-05,6.380391423590481e-05,0.0,0.0
random_top_k,lookup_multiply,unseen_composition,8,0.5,0.5,0.0,714.625,714.625,6.0,3.0,3.0,0.008864005387295038,6.12761068623513e-05,0.006912609946129659,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7819.0,714.625,0.75,0.008847437507938594,0.009013327769935131,6.13329466432333e-05,6.416552350856364e-05,0.0,0.0
random_top_k,reverse_string,seen_family,8,1.0,1.0,0.0,668.625,668.625,6.0,3.0,3.0,0.008802046744676773,6.083874177420512e-05,0.006911793954781249,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7351.0,668.625,0.75,0.008793312503257766,0.008842000001459382,6.093751289881766e-05,6.406302854884416e-05,0.0,0.0
rule_based,addition_reverse_digits,unseen_composition,8,1.0,1.0,0.0,92.0,92.0,2.0,1.0,2.0,0.008703609360964037,2.9703121981583536e-05,0.003401907790491778,0.0,,0.0,0.0,0.0,5.0,5.0,0.06172839506172839,0.9382716049382716,4.0,1.0,998.875,92.0,0.75,0.008467229519737884,0.009525979124009609,2.8436974389478564e-05,3.556928422767669e-05,0.0,0.0
rule_based,arithmetic_addition,seen_family,8,1.0,1.0,0.0,27.0,27.0,1.0,1.0,2.0,0.008720744866877794,2.6520756364334375e-05,0.0030348791367422606,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,294.25,27.0,0.875,0.008648416463984177,0.009289920952869579,2.5478977477177978e-05,3.167861432302743e-05,0.0,0.0
rule_based,count_vowels,seen_family,8,1.0,1.0,0.0,32.0,32.0,1.0,1.0,2.0,0.008756698123761453,2.6276014978066087e-05,0.0029918326639152676,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,325.25,32.0,0.875,0.008685187523951754,0.00934936930425465,2.5791028747335076e-05,3.0203841743059456e-05,0.0,0.0
rule_based,inline_lookup,seen_family,8,1.0,1.0,0.0,35.0,35.0,1.0,1.0,2.0,0.008774104251642711,2.718724135775119e-05,0.00309176380224284,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.5,35.0,0.875,0.008803770499071106,0.0092930316895945,2.637496800161898e-05,3.4255813807249064e-05,0.0,0.0
rule_based,lookup_multiply,unseen_composition,8,1.0,1.0,0.0,104.0,104.0,2.0,1.0,2.0,0.011001760612998623,3.146900417050347e-05,0.0032432427576735232,0.0,,0.0,0.0,0.0,5.0,5.0,0.06172839506172839,0.9382716049382716,4.0,1.0,1132.25,104.0,0.75,0.008686875487910584,0.02058517904370091,3.1750008929520845e-05,3.5645414027385416e-05,0.0,0.0
rule_based,reverse_string,seen_family,8,1.0,1.0,0.0,32.0,32.0,1.0,1.0,2.0,0.008758312374993693,2.776549808913842e-05,0.003154909682399426,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,332.0,32.0,0.875,0.00850912497844547,0.009407618665136397,2.6519992388784885e-05,3.4818763379007574e-05,0.0,0.0
