policy,layer,num_experts,utilized_experts,utilized_fraction,activation_frequency,normalized_routing_entropy,load_coefficient_of_variation,task_distribution_js_divergence,observations,interpretation
base_moe,10,32,32,1.0,"[0.04343885935234413, 0.029905751570807153, 0.030932817786370227, 0.0666988883518608, 0.03431609473175447, 0.03558482358627356, 0.08862977283711938, 0.006162397293378444, 0.011962300628322861, 0.016916384726921217, 0.008579023682938617, 0.03141614306428226, 0.02181005316578057, 0.014681005316578058, 0.021930884485258578, 0.018789270178830354, 0.013291445142580956, 0.020843402609956502, 0.02972450459159014, 0.010210246495891735, 0.0047124214596423394, 0.062409376510391495, 0.043136781053649105, 0.03896810053165781, 0.037880618656355725, 0.04253262445625906, 0.06790720154664089, 0.0347390043499275, 0.012626872885451909, 0.012566457225712905, 0.04809086515224746, 0.03860560657322378]",0.8965441862785593,0.6290810660154362,"{'math': 0.002199628173942108, 'retrieval': 0.002709799284215155, 'code': 0.0016788843213927515, 'composed_retrieval_math': 0.0014476459875059646, 'composed_math_string': 0.0028430144888413325}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,11,32,32,1.0,"[0.02138714354760754, 0.017520541324311262, 0.03014741420976317, 0.018487191880135333, 0.0035645239246012567, 0.040357660705654906, 0.06367810536491059, 0.037699371677138716, 0.022232962783953602, 0.04917834702754954, 0.02905993233446109, 0.04138472692121798, 0.010753987433542774, 0.018547607539874337, 0.03268487191880135, 0.04954084098598357, 0.010633156114064766, 0.042955534074432096, 0.04235137747704205, 0.034497341710971484, 0.04084098598356694, 0.04041807636539391, 0.005799903334944417, 0.03667230546157564, 0.04078057032382794, 0.015768487191880134, 0.0361285645239246, 0.019212179797003383, 0.03280570323827936, 0.04428467858869019, 0.008035282745287578, 0.0625906234896085]",0.8952948761071794,0.4919346864238461,"{'math': 0.0019771856909911885, 'retrieval': 0.002095249074724592, 'code': 0.0017140308417149899, 'composed_retrieval_math': 0.0018569357992052897, 'composed_math_string': 0.0017391008933941416}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,12,32,32,1.0,"[0.03999516674722088, 0.009122764620589656, 0.022837119381343644, 0.03721604639922668, 0.005679072015466409, 0.016614306428226196, 0.05389076848719188, 0.04235137747704205, 0.047728371193813436, 0.013956017399710004, 0.008035282745287578, 0.069357177380377, 0.017822619623006283, 0.0709279845335911, 0.030932817786370227, 0.04090140164330595, 0.007551957467375543, 0.04319719671338811, 0.06313436442725955, 0.08415901401643305, 0.029482841952634124, 0.00984775253745771, 0.017218463025616238, 0.0027187046882551956, 0.07068632189463508, 0.004229096181730304, 0.01123731271145481, 0.009545674238762687, 0.03558482358627356, 0.017399710004833254, 0.05793861768970517, 0.008699855002416627]",0.8878616474197842,0.7411715257219671,"{'math': 0.003653094502247051, 'retrieval': 0.0022001664170224755, 'code': 0.0017193430488197587, 'composed_retrieval_math': 0.0026100881426582385, 'composed_math_string': 0.0016707748536168477}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,13,32,32,1.0,"[0.07823827936201064, 0.023682938617689706, 0.06210729821169647, 0.041686805219913005, 0.01637264378927018, 0.004954084098598357, 0.00652489125181247, 0.028274528757854037, 0.018245529241179313, 0.023018366360560656, 0.01582890285161914, 0.03896810053165781, 0.05219913001449976, 0.04090140164330595, 0.004047849202513292, 0.017399710004833254, 0.06603431609473176, 0.04555340744320928, 0.009001933301111648, 0.004470758820686322, 0.03304736587723538, 0.020178830352827453, 0.05546157564040599, 0.018487191880135333, 0.0011478975350410826, 0.015345577573707105, 0.04132431126147897, 0.018305944900918317, 0.12161672305461575, 0.017218463025616238, 0.00459159014016433, 0.055763653939101016]",0.9023361105654248,0.8287164126691638,"{'math': 0.00561567383230893, 'retrieval': 0.0027773443370689497, 'code': 0.002377984693113693, 'composed_retrieval_math': 0.0023068233108176034, 'composed_math_string': 0.0030258642754245712}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,14,32,32,1.0,"[0.03268487191880135, 0.03570565490575157, 0.04899710004833253, 0.008458192363460609, 0.010512324794586757, 0.021447559207346544, 0.007491541807636539, 0.06446350894151764, 0.0041686805219913, 0.054374093765103916, 0.0862131464475592, 0.02513291445142581, 0.01969550507491542, 0.10216288061865636, 0.055582406959884, 0.0083373610439826, 0.006826969550507492, 0.01220396326727888, 0.04555340744320928, 0.011176897051715805, 0.03691396810053166, 0.003081198646689222, 0.05467617206379893, 0.01764137264378927, 0.026220396326727888, 0.04235137747704205, 0.0021749637506041568, 0.047728371193813436, 0.029784920251329144, 0.003262445625906235, 0.028395360077332045, 0.04658047365877235]",0.9141276845229108,0.7813038076969551,"{'math': 0.004520932230524653, 'retrieval': 0.0021632863848622124, 'code': 0.0013849946742023837, 'composed_retrieval_math': 0.0023172581678877723, 'composed_math_string': 0.0014604684973989084}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,15,32,32,1.0,"[0.0013291445142580957, 0.019816336394393428, 0.0069478008699855, 0.029180763653939103, 0.008216529724504592, 0.005074915418076365, 0.0035041082648622525, 0.013774770420492992, 0.04621797970033833, 0.04319719671338811, 0.10059207346544224, 0.016191396810053167, 0.021870468825519573, 0.04011599806669889, 0.01208313194780087, 0.026824552924117933, 0.05153455775737071, 0.04488883518608023, 0.07400918318028032, 0.04392218463025616, 0.005618656355727405, 0.034436926051232476, 0.05938859352344127, 0.04283470275495408, 0.0025374577090381827, 0.04464717254712421, 0.004893668438859352, 0.0016312228129531175, 0.08222571290478492, 0.039149347510874816, 0.02930159497341711, 0.04404301594973417]",0.8819170758206853,0.7889411376835126,"{'math': 0.0044707278860067895, 'retrieval': 0.0023861630192886733, 'code': 0.0017546024937431977, 'composed_retrieval_math': 0.0023706923391527968, 'composed_math_string': 0.0028290092168830297}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,16,32,32,1.0,"[0.10071290478492025, 0.006162397293378444, 0.04277428709521508, 0.038545190913484774, 0.03957225712904785, 0.0250120831319478, 0.04790961817303045, 0.04325761237312711, 0.011358144030932818, 0.002295795070082165, 0.026039149347510875, 0.03637022716288062, 0.03038907684871919, 0.02307878202029966, 0.025495408409859834, 0.0083373610439826, 0.025495408409859834, 0.012626872885451909, 0.039149347510874816, 0.029664088931851136, 0.05570323827936201, 0.002295795070082165, 0.003322861285645239, 0.07116964717254712, 0.003141614306428226, 0.03141614306428226, 0.053769937167713874, 0.014620589656839053, 0.014197680038666022, 0.039753504108264864, 0.01443934267762204, 0.0819236346060899]",0.8937141228995235,0.7402785657511177,"{'math': 0.002663336531550501, 'retrieval': 0.001689365630089045, 'code': 0.0013426646371876654, 'composed_retrieval_math': 0.00224495971228703, 'composed_math_string': 0.0019686102079423578}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,17,32,32,1.0,"[0.037820202996616724, 0.02265587240212663, 0.03359110681488642, 0.015164330594490091, 0.048513774770420494, 0.05473658772353794, 0.05818028032866119, 0.005920734654422426, 0.04355969067182214, 0.0038666022232962784, 0.08041324311261479, 0.04948042532624456, 0.0026582890285161915, 0.06851135814403093, 0.011781053649105849, 0.05068873852102465, 0.012687288545190913, 0.0016312228129531175, 0.04549299178347028, 0.010814403093281778, 0.027972450459159012, 0.031053649105848236, 0.017278878685355246, 0.04676172063798937, 0.008760270662155631, 0.027851619139681004, 0.02579748670855486, 0.048392943450942486, 0.03407443209279845, 0.017278878685355246, 0.049842919284678586, 0.006766553890768487]",0.903965062139575,0.6570099157201547,"{'math': 0.002676931440326832, 'retrieval': 0.0021754072149161967, 'code': 0.001777111679405551, 'composed_retrieval_math': 0.0015315721909840668, 'composed_math_string': 0.0019426207349349947}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,18,32,32,1.0,"[0.010270662155630739, 0.019574673755437408, 0.059207346544224264, 0.041143064282261964, 0.049238762687288544, 0.032261962300628326, 0.0472450459159014, 0.037699371677138716, 0.014137264378927018, 0.05938859352344127, 0.002235379410343161, 0.021628806186563557, 0.008820686321894635, 0.05775737071048816, 0.020541324311261478, 0.018789270178830354, 0.02875785403576607, 0.048574190430159495, 0.012324794586756888, 0.022716288061865635, 0.03739729337844369, 0.048513774770420494, 0.039813919768003865, 0.020601739971000482, 0.031174480425326244, 0.0639197680038666, 0.009968583856935718, 0.04150555824069599, 0.03407443209279845, 0.008941517641372644, 0.00918318028032866, 0.042593040115998064]",0.9131834710754202,0.5536560088093584,"{'math': 0.002028775024486043, 'retrieval': 0.0016757581612608001, 'code': 0.0017694059120446429, 'composed_retrieval_math': 0.0017728004021879866, 'composed_math_string': 0.0019440351835023836}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
base_moe,19,32,32,1.0,"[0.0071894635089415175, 0.013231029482841952, 0.019272595456742387, 0.022535041082648623, 0.02199130014499758, 0.06971967133881102, 0.011056065732237797, 0.005316578057032383, 0.04404301594973417, 0.0361285645239246, 0.004047849202513292, 0.016553890768487192, 0.04942000966650556, 0.016493475108748188, 0.06742387626872885, 0.020601739971000482, 0.015164330594490091, 0.027549540840985983, 0.033832769453842435, 0.04935959400676655, 0.06011358144030933, 0.006645722571290478, 0.01220396326727888, 0.05793861768970517, 0.03763895601739971, 0.02307878202029966, 0.008397776703721604, 0.07231754470758821, 0.047667955534074435, 0.045190913484775254, 0.06742387626872885, 0.010451909134847753]",0.9111832452498047,0.6817425764258096,"{'math': 0.0020960009025760675, 'retrieval': 0.0018115211598068572, 'code': 0.001108209383381071, 'composed_retrieval_math': 0.0011808404319271035, 'composed_math_string': 0.0025143147990161433}",2069,Task/load correlation is descriptive; it does not establish semantic expert specialization.
