policy,category,split,generalization,task_count,success_rate,mean_grader_score,mean_controller_tokens,mean_downstream_tokens,mean_total_tokens,mean_agent_calls,mean_rounds,mean_routing_calls,mean_wall_clock_seconds,mean_controller_seconds,mean_controller_overhead_fraction,mean_controller_token_fraction,mean_controller_cost_fraction,mean_controller_cost_usd,mean_downstream_cost_usd,mean_cost_usd,mean_communication_edges,mean_unique_communication_edges,mean_communication_density,mean_communication_sparsity,mean_physical_controller_agent_messages,mean_logical_inter_agent_edges,mean_communication_message_bytes,mean_communication_estimated_tokens,mean_activation_sparsity,p50_wall_clock_seconds,p95_wall_clock_seconds,p50_controller_seconds,p95_controller_seconds,p50_cost_usd,p95_cost_usd
random_top_k,composed_retrieval_math,eval,unseen_composition,1,0.0,0.0,0.0,793.0,793.0,6.0,3.0,3.0,0.009872665978036821,7.350003579631448e-05,0.0074448012279384294,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,8765.0,793.0,0.75,0.009872665978036821,0.009872665978036821,7.350003579631448e-05,7.350003579631448e-05,0.0,0.0
random_top_k,math,eval,seen_family,1,1.0,1.0,0.0,688.0,688.0,6.0,3.0,3.0,0.010647832998074591,0.00011274899588897824,0.01058891475001216,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7710.0,688.0,0.75,0.010647832998074591,0.010647832998074591,0.00011274899588897824,0.00011274899588897824,0.0,0.0
random_top_k,retrieval,eval,seen_family,1,1.0,1.0,0.0,644.0,644.0,6.0,3.0,3.0,0.010108666960150003,8.075102232396603e-05,0.007988295849719808,0.0,,0.0,0.0,0.0,24.0,24.0,0.2962962962962963,0.7037037037037037,12.0,12.0,7190.0,644.0,0.75,0.010108666960150003,0.010108666960150003,8.075102232396603e-05,8.075102232396603e-05,0.0,0.0
rule_based,code,eval,seen_family,2,1.0,1.0,0.0,32.0,32.0,1.0,1.0,2.0,0.009452728991163895,3.1728995963931084e-05,0.0033551888074764436,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,327.5,32.0,0.875,0.009452728991163895,0.009523998192162254,3.1728995963931084e-05,3.339757095091045e-05,0.0,0.0
rule_based,composed_math_string,eval,unseen_composition,1,1.0,1.0,0.0,92.0,92.0,2.0,1.0,2.0,0.00894933397648856,3.000005381181836e-05,0.003352210777990146,0.0,,0.0,0.0,0.0,5.0,5.0,0.06172839506172839,0.9382716049382716,4.0,1.0,1000.0,92.0,0.75,0.00894933397648856,0.00894933397648856,3.000005381181836e-05,3.000005381181836e-05,0.0,0.0
rule_based,composed_retrieval_math,eval,unseen_composition,1,1.0,1.0,0.0,104.0,104.0,2.0,1.0,2.0,0.009413791995029896,3.15000070258975e-05,0.0033461549864845365,0.0,,0.0,0.0,0.0,5.0,5.0,0.06172839506172839,0.9382716049382716,4.0,1.0,1133.0,104.0,0.75,0.009413791995029896,0.009413791995029896,3.15000070258975e-05,3.15000070258975e-05,0.0,0.0
rule_based,math,eval,seen_family,1,1.0,1.0,0.0,27.0,27.0,1.0,1.0,2.0,0.009802000015042722,3.833393566310406e-05,0.003910827953914973,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,295.0,27.0,0.875,0.009802000015042722,0.009802000015042722,3.833393566310406e-05,3.833393566310406e-05,0.0,0.0
rule_based,retrieval,eval,seen_family,1,1.0,1.0,0.0,35.0,35.0,1.0,1.0,2.0,0.009159124980214983,2.7625064831227064e-05,0.003016124890849415,0.0,,0.0,0.0,0.0,2.0,2.0,0.024691358024691357,0.9753086419753086,2.0,0.0,368.0,35.0,0.875,0.009159124980214983,0.009159124980214983,2.7625064831227064e-05,2.7625064831227064e-05,0.0,0.0
static_supervisor,code,eval,seen_family,2,0.0,0.0,266.5,0.0,266.5,0.0,0.0,1.0,2.5667870420147665,2.5571867499966174,0.9962582886226017,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.5667870420147665,2.635747967043426,2.5571867499966174,2.626006749406224,0.0,0.0
static_supervisor,composed_math_string,eval,unseen_composition,1,0.0,0.0,277.0,0.0,277.0,0.0,0.0,1.0,2.4515814590267837,2.441530750016682,0.9959003161110169,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.4515814590267837,2.4515814590267837,2.441530750016682,2.441530750016682,0.0,0.0
static_supervisor,composed_retrieval_math,eval,unseen_composition,1,0.0,0.0,297.0,0.0,297.0,0.0,0.0,1.0,2.657197791035287,2.647828874993138,0.9964741367489626,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.657197791035287,2.657197791035287,2.647828874993138,2.647828874993138,0.0,0.0
static_supervisor,math,eval,seen_family,1,0.0,0.0,267.0,0.0,267.0,0.0,0.0,1.0,3.05845287500415,2.9971865830011666,0.9799682079447112,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,3.05845287500415,3.05845287500415,2.9971865830011666,2.9971865830011666,0.0,0.0
static_supervisor,retrieval,eval,seen_family,1,0.0,0.0,294.0,0.0,294.0,0.0,0.0,1.0,2.5136550000170246,2.503943415998947,0.996136468999122,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.5136550000170246,2.5136550000170246,2.503943415998947,2.503943415998947,0.0,0.0
